"Ticker","Nome","Negócios","Última (R$)","Variação"
"WLMM3","WLM","200","22,81","-6,32%"
"EQPA7","Equatorial Energia Pará","8.000","7,51","+0,00%"
"BRGE5","Consórcio Alfa","100","13,18","+0,08%"
"BRGE8","Consórcio Alfa","400","13,17","+12,95%"
"MSPA3","Melhoramentos","100","43,00","+0,00%"
"CEEB5","COELBA","100","36,86","+0,03%"
"BRGE7","Consórcio Alfa","500","13,07","-3,54%"
"EQPA5","Equatorial Energia Pará","100","7,50","+0,00%"
"JOPA4","Josapar","200","35,00","+3,55%"
"BMIN3","Banco Mercantil de Investimentos","100","20,01","+0,00%"
"COCE3","Coelce","100","50,99","+8,49%"
"CEGR3","Naturgy (CEG)","300","68,00","-20,00%"
"ESTR3","Estrela","200","7,60","-5,00%"
"AHEB5","São Paulo Turismo","100","16,61","+0,00%"
"CEED3","CEEE D","100","22,90","-5,68%"
"CSAB3","Cia. de Seg. Aliança da Bahia","100","30,50","-1,61%"
"CSAB4","Cia. de Seg. Aliança da Bahia","1.600","48,97","+19,47%"
"MEGA3","OMEGA ENERGIA S.A.","2.220.100","9,62","+1,48%"
"SQIA3","Sinqia","1.444.800","27,37","-0,29%"
"ALSO3","Aliansce Sonae","5.883.300","23,33","+2,06%"
"BRPR3","BR Properties","10.600","131,17","+2,48%"
"MTSA3","METISA","100","79,00","+2,60%"
"SLED4","Saraiva","64.300","1,60","-1,84%"
"SLED3","Saraiva","3.000","3,21","-0,31%"
"AHEB6","São Paulo Turismo","100","17,02","+0,06%"
"VIIA3","VIIA3","213.149.200","0,75","+2,74%"
"ENBR3","EDP Brasil","1.697.900","24,08","+0,12%"
"BOAS3","Boa Vista","23.239.000","7,95","-0,38%"
"MODL3","Banco Modal","16.688.000","3,08","+0,33%"
"MERC3","Mercantil do Brasil Financeira","51.500","15,28","+1,13%"
"CRDE3","CRDE3","400","16,00","+0,00%"
"IGBR3","IGB Eletrônica","700","175,99","+1,14%"
"ODER4","Conservas Oderich","100","100,00","+12,35%"
"PARD3","Hermes Pardini","1.861.800","18,10","+1,29%"
"CASN3","CASAN","100","10,43","-18,39%"
"WIZS3","WIZS3","779.400","7,16","+1,99%"
"LLIS3","LLIS3","249.800","1,73","+2,98%"
"BRML3","BRMalls","16.132.900","8,26","+2,35%"
"DMMO3","Dommo Energia","3.254.800","1,76","-1,12%"
"GETT3","Getnet","46.500","2,40","+1,27%"
"GETT4","Getnet","18.500","2,40","+1,27%"
"SULA4","SulAmérica","18.600","7,63","+5,53%"
"SULA3","SulAmérica","4.000","7,43","+1,50%"
"CEPE5","CELPE","100","40,12","+0,02%"
"TCNO4","Tecnosolo","36.800","0,85","-9,57%"
"TCNO3","Tecnosolo","3.400","1,20","-1,64%"
"CEPE6","CELPE","100","43,00","+6,17%"
"BKBR3","BKBR3","782.300","7,63","+0,26%"
"MTIG4","Metalgráfica Iguaçu","100","23,00","+0,00%"
"BLUT4","Blue Tech Solutions","171.100","1,52","-5,59%"
"BLUT3","Blue Tech Solutions","13.400","5,14","+0,59%"
"MODL4","Banco Modal","700","2,72","-2,16%"
"CARD3","CARD3","118.000","14,51","+1,82%"
"SHUL3","Schulz","100","27,94","-50,12%"
"FIGE3","Investimentos Bemge","100","12,03","+99,83%"
"FNCN3","FNCN3","4.800","14,25","-0,35%"
"HETA3","Hercules","200","96,00","+0,00%"
"LCAM3","Locamerica","26.118.900","24,15","+1,86%"
